parola1,parola2
Automobile,motocicletta
Computer,smartphone
Libro,quaderno
Telefono,email
Casa,hotel
Tavolo,panca
Sedia,divano
Penna,matita
Carta,pergamena
Orologio,meridiana
Televisore,tablet
Cucina, salotto
Lampada, candela
Porta, finestra
Finestra, porta
Bottiglia, brocca
Tazza, bottiglia
Piatto, vassoio
Cucchiaio, forchetta
Forchetta, cucchiaio 
Coltello, spada
Letto, poltrona
Armadio, cassetto
Specchio, schermo
Lavandino, bidet
Asciugamano, fazzoletto
Sapone, Dentifricio
Frigorifero, Freezer
Microonde, Frigo
Forno, Frigo
Lavastoviglie, Asciugattrice
Lavatrice, Lavastoviglie
Asciugatrice, Asciugacapelli
Divano, Letto
Tappeto, stuoino
Quadro, scultura
